1	a0	p0
2	a2	p2
3	a3	p3
4	a4	p4
5	a0	p0
6	a6	p6
7	a7	p7
8	a8	p8
9	a9	p9
10	a10	p10
11	a11	p11
12	a12	p12
13	a13	p13
14	a14	p14
15	a15	p15
16	a16	p16
17	a17	p0
18	a18	p18
19	a19	p19
20	a20	p20
21	a21	p21
22	a22	p22
23	a23	p23
24	a24	p24
25	a25	p25
26	a26	p26
27	a27	p27
28	a28	p28
29	a29	p29
30	a30	p30
31	a31	p31
32	a0	p32"
33	a33	p33
34	a34	p34
35	a35	p35
36	a36	p36
37	a37	p37
38	a38	p38
39	a39	p39
40	a40	p0
41	a41	p41
42	a42	p42
43	a43	p43
44	a44	p44
45	a45	p45
46	a46	p46
47	a47	p47
48	a48	p48
49	a0	p49
50	a50	p50
51	a0	p0
52	a0	p0
53	a0	p0
54	a0	p0
55	a0	p0
56	a0	p0
57	a0	p0
58	a0	p0
59	a0	p0
60	a0	p0
61	a0	p0
62	a0	p0
63	a0	p0
64	a0	p0
65	a0	p0
66	a0	p0
67	a0	p0
68	a0	p0
69	a0	p0
70	a0	p0
71	a0	p0
72	a0	p0
73	a0	p0
74	a0	p0
75	a0	p0
76	a0	p0
77	a0	p0
78	a0	p0
79	a0	p0
80	a0	p0
81	a0	p0
82	a0	p0
83	a0	p0
84	a0	p0
85	a0	p0
86	a0	p0
87	a0	p0
88	a0	p0
89	a0	p0
90	a0	p0
91	a0	p0
92	a0	p0
93	a0	p0
94	a0	p0
95	a0	p0
96	a0	p0
97	a0	p0
98	a0	p0
99	a0	p0
100	a0	p0
101	a0	p0
102	a0	p0
103	a0	p0
104	a0	p0
105	a0	p0
106	a0	p0
107	a0	p0
108	a0	p0
109	a0	p0
110	a0	p0
111	a0	p0
112	a0	p0
113	a0	p0
114	a0	p0
115	a0	p0
116	a0	p0
117	a0	p0
118	a0	p0
119	a0	p0
120	a0	p0
121	a0	p0
122	a0	p0
123	a0	p0
124	a0	p0
125	a0	p0
126	a0	p0
127	a0	p0
128	a0	p0
